identifier,size,path,session_time,specimen_name,sex,age,genotype,probes,stim_types,n_units,session_end
89fa5067-31a8-4f2d-a043-5721120501a0,2499178105,sub-621890/sub-621890_ses-1186358749_ogen.nwb,2022-06-22 00:00:00-07:00,621890,F,128,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2446,6713.70871
8b38a6e2-c8a2-48dd-9fdc-af36832a3463,1761434508,sub-618712/sub-618712_ses-1180116198_ogen.nwb,2022-05-26 00:00:00-07:00,618712,M,125,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",1819,6852.43756
463e9cae-ff12-4e54-8b8f-e9293480f762,982474234,sub-621891/sub-621891_ses-1179909741_ogen.nwb,2022-05-25 00:00:00-07:00,621891,F,100,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeD', 'OptogeneticStimulusDevice', 'probeB', 'probeC'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",1118,6713.5473
38e79b1b-e2a6-4f5c-ae62-5538d295b827,2341394409,sub-632487/sub-632487_ses-1204677304_ogen.nwb,2022-09-01 00:00:00-07:00,632487,F,122,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2745,6948.5164
2b44dc78-2c9f-4a71-95ed-360df2b70d61,2180444622,sub-637542/sub-637542_ses-1211241460_ogen.nwb,2022-09-15 00:00:00-07:00,637542,F,98,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2055,7012.67225
b305ccec-fa84-445e-aea5-0126d6eff558,2456101222,sub-632485/sub-632485_ses-1203581890_ogen.nwb,2022-08-31 00:00:00-07:00,632485,F,121,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2272,6953.6775
7bf17d6e-1ee6-49da-b7fe-836f0f4cd5ff,2296804544,sub-637909/sub-637909_ses-1212569512_ogen.nwb,2022-09-20 00:00:00-07:00,637909,M,101,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2414,7054.55339
6e4a0d70-3977-4053-8c03-f72b8fe6d451,2281456759,sub-637908/sub-637908_ses-1213341633_ogen.nwb,2022-09-22 00:00:00-07:00,637908,M,103,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2558,7281.38293
be571a44-3250-4f6c-853c-33b50c1e6f6e,2262651792,sub-640507/sub-640507_ses-1217213788_ogen.nwb,2022-10-12 00:00:00-07:00,640507,F,104,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2378,6956.49722
e2a7c38c-837d-42e1-8b2d-18f464dc9af6,2153492016,sub-647836/sub-647836_ses-1227858756_ogen.nwb,2022-11-22 00:00:00-08:00,647836,F,88,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",2170,6926.58617
f0aaa669-81ba-40e9-bd3e-4a05ad6018ad,2857396605,sub-645324/sub-645324_ses-1226788689_ogen.nwb,2022-11-17 00:00:00-08:00,645324,M,104,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",3101,6926.62368
7c494ca2-03db-429f-aaf3-a6f065859f51,2587197820,sub-645495/sub-645495_ses-1224930300_ogen.nwb,2022-11-09 00:00:00-08:00,645495,F,95,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",3047,6926.26897
9ed1f92f-a25f-4466-b88c-2a7fcae94bf4,2661843060,sub-642507/sub-642507_ses-1221092548_ogen.nwb,2022-10-26 00:00:00-07:00,642507,F,103,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'probeF', 'probeA', 'probeB', 'probeD', 'probeC', 'probeE', 'OptogeneticStimulusDevice'}","{'init_grating_presentations', 'create_receptive_field_mapping_presentations', 'invalid_times', 'init_intermission_presentations', 'spontaneous_presentations'}",3017,6963.07019
