identifier,size,path,session_time,session_id,experiment_id,container_id,group,group_count,imaging_depth,location,fov_height,fov_width,specimen_name,sex,age,genotype,stim_types,n_rois,session_end
2b16c329-a2f2-44c0-917f-d2485eca5fb7,4008765509,sub-644972/sub-644972_ses-1238929581-acq-1239101628_image+ophys.nwb,2023-01-11 16:33:05.503000+00:00,1238929581,1239101628,0,3,4,288,VISpm,512,512,644972,M,P162.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_flower_rev_fwd_presentations', 'movie_worms_rev_fwd_presentations', 'movie_flower_fwd_rev_presentations', 'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_rev_fwd_presentations', 'movie_touch_of_evil_rev_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'movie_worms_fwd_rev_presentations', 'movie_flower_rev_presentations', 'movie_worms_rev_presentations', 'fixed_gabors_presentations', 'movie_touch_of_evil_fwd_rev_presentations'}",None,3937.19637
c1a7d88e-2a7d-463e-a73d-b46eaea61593,1079474009,sub-644972/sub-644972_ses-1237338784-acq-1237809217_image+ophys.nwb,2023-01-04 16:58:58.862000+00:00,1237338784,1237809217,0,0,4,20,VISp,512,512,644972,M,P155.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",6,3941.946
dff85610-18b0-4d72-8ebd-5639516fe0b7,1073642857,sub-644972/sub-644972_ses-1237338784-acq-1237809220_image+ophys.nwb,2023-01-04 16:58:58.862000+00:00,1237338784,1237809220,0,1,4,25,VISam,512,512,644972,M,P155.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",1,3941.946
ee3b7520-6ac7-49ea-88b3-022d5be7816b,1069138065,sub-644972/sub-644972_ses-1237338784-acq-1237809223_image+ophys.nwb,2023-01-04 16:58:58.862000+00:00,1237338784,1237809223,0,2,4,30,VISl,512,512,644972,M,P155.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3941.946
a81fd01e-36be-4eff-a3f1-379201a95bf4,1144934234,sub-644972/sub-644972_ses-1237338784-acq-1237809219_image+ophys.nwb,2023-01-04 16:58:58.862000+00:00,1237338784,1237809219,0,0,4,295,VISp,512,512,644972,M,P155.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",62,3941.946
77bee3bf-f961-4d0e-ae33-5177668a3395,1079478897,sub-644972/sub-644972_ses-1237338784-acq-1237809227_image+ophys.nwb,2023-01-04 16:58:58.862000+00:00,1237338784,1237809227,0,3,4,18,VISpm,512,512,644972,M,P155.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",6,3941.946
42bad904-bd53-4696-bac6-eb3b9826da0c,1069186000,sub-644972/sub-644972_ses-1237558566-acq-1237712753_image+ophys.nwb,2023-01-05 17:01:03.023000+00:00,1237558566,1237712753,0,2,4,318,VISl,512,512,644972,M,P156.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3946.23896
1c1ad766-76d9-4826-a31d-5decd2d75a31,1069186000,sub-644972/sub-644972_ses-1237558566-acq-1237712746_image+ophys.nwb,2023-01-05 17:01:03.023000+00:00,1237558566,1237712746,0,0,4,285,VISp,512,512,644972,M,P156.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3946.23896
c04a55a1-a531-4955-ac45-2aa4981f7a63,1069186000,sub-644972/sub-644972_ses-1237558566-acq-1237712751_image+ophys.nwb,2023-01-05 17:01:03.023000+00:00,1237558566,1237712751,0,2,4,29,VISl,512,512,644972,M,P156.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3946.23896
bc995d45-0846-42da-9e46-b2d19217ed67,1091164247,sub-644972/sub-644972_ses-1237081845-acq-1237345895_image+ophys.nwb,2023-01-03 17:03:30.439000+00:00,1237081845,1237345895,0,1,4,300,VISam,512,512,644972,M,P154.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",16,3941.50602
377c141d-e373-4b5c-855a-0a38fa579b77,1069186000,sub-644972/sub-644972_ses-1237558566-acq-1237712754_image+ophys.nwb,2023-01-05 17:01:03.023000+00:00,1237558566,1237712754,0,3,4,19,VISpm,512,512,644972,M,P156.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3946.23896
37a596c4-8a7f-4b13-88ec-2c7117b5ac9c,1069186000,sub-644972/sub-644972_ses-1237558566-acq-1237712747_image+ophys.nwb,2023-01-05 17:01:03.023000+00:00,1237558566,1237712747,0,1,4,14,VISam,512,512,644972,M,P156.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3946.23896
e51577db-798c-491d-a9c7-6c7f601e16f5,1069186000,sub-644972/sub-644972_ses-1237558566-acq-1237712744_image+ophys.nwb,2023-01-05 17:01:03.023000+00:00,1237558566,1237712744,0,0,4,17,VISp,512,512,644972,M,P156.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",None,3946.23896
8dc3db02-59c9-4668-b4f3-44c259e89fb7,1141408516,sub-644972/sub-644972_ses-1237081845-acq-1237345892_image+ophys.nwb,2023-01-03 17:03:30.439000+00:00,1237081845,1237345892,0,0,4,291,VISp,512,512,644972,M,P154.0D,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'spontaneous_presentations', 'rotate_gabors_presentations', 'movie_worms_fwd_presentations', 'movie_touch_of_evil_fwd_presentations', 'gratings_presentations', 'movie_flower_fwd_presentations', 'fixed_gabors_presentations'}",59,3941.50602
