identifier,size,path,session_time,specimen_name,sex,age,genotype,probes,stim_types,n_units,session_end
9ab6bfff-70ed-44dc-b384-96b4cef2b566,3308934228,sub-633229/sub-633229_ses-1199247593_ogen.nwb,2022-08-17 00:00:00-07:00,633229,F,101.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",3026,7279.58784
15bbb781-f912-4630-b9fe-f3df864290ad,2773818936,sub-631510/sub-631510_ses-1196157974_ogen.nwb,2022-08-03 00:00:00-07:00,631510,F,99.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2386,7339.21131
f7b65765-41b5-4605-9585-95338c3a9e5a,2717870004,sub-620334/sub-620334_ses-1189887297_ogen.nwb,2022-07-06 00:00:00-07:00,620334,M,154.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2092,7279.89479
6b321a1c-55c4-4de5-8a25-373f2c5a4bc8,3036007774,sub-620333/sub-620333_ses-1188137866_ogen.nwb,2022-06-30 00:00:00-07:00,620333,M,148.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2593,7283.08716
0073a783-5b41-42a8-882a-2960554d4e43,2108745405,sub-631570/sub-631570_ses-1194857009_ogen.nwb,2022-07-28 00:00:00-07:00,631570,F,92.0,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",1789,7278.92195
1b7aaf88-eabd-46f5-8f2a-c1fecba823f2,2598789798,sub-625555/sub-625555_ses-1183070926_ogen.nwb,2022-06-09 00:00:00-07:00,625555,F,90.0,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2621,7278.57204
3e3d9ce2-4d45-4f41-a957-532cbdf5bc39,3619691457,sub-625554/sub-625554_ses-1181330601_ogen.nwb,2022-06-01 00:00:00-07:00,625554,M,82.0,Pvalb-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2930,7315.43515
f1a26076-0a3e-43c8-b138-5320bca7a23f,2469141920,sub-619296/sub-619296_ses-1187930705_ogen.nwb,2022-06-29 00:00:00-07:00,619296,M,154.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",1918,7278.13709
bc340647-7b72-4ec8-aa86-ac236da36713,2709636662,sub-630506/sub-630506_ses-1192952695_ogen.nwb,2022-07-20 00:00:00-07:00,630506,F,92.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2517,7279.14674
efb53d2c-2d51-4a26-9b36-5d3d3ff7e19e,2803551453,sub-625545/sub-625545_ses-1182865981_ogen.nwb,2022-06-08 00:00:00-07:00,625545,M,89.0,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,"{'OptogeneticStimulusDevice', 'probeD', 'probeB', 'probeC', 'probeE', 'probeF', 'probeA'}","{'ICkcfg1_presentations', 'ICwcfg0_presentations', 'spontaneous_presentations', 'sizeCI_presentations', 'RFCI_presentations', 'ICwcfg1_presentations', 'ICkcfg0_presentations', 'invalid_times'}",2793,7279.21336
