identifier,size,path,session_time,sub_name,session_id,experiment_id,container_id,group,group_count,imaging_depth,location,fov_height,fov_width,specimen_name,sub_sex,sub_age,sub_genotype,stim_types,#_rois,session_end
bbe4ce7a-ba36-464b-b9f9-17e50e03b2a4,684812408,sub-703102/sub-703102_ses-1329110536-acq-1329223380_ophys.nwb,2024-02-07 23:12:42.563000+00:00,703102,1329110536,1329223380,0,2,4,259,VISl,512,512,703102,F,P148.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",103,4226.780951
05ee41b1-2974-4c4c-8b09-dbd93af7a277,608784778,sub-695164/sub-695164_ses-1317208685-acq-1317347123_ophys.nwb,2023-12-12 22:59:07.678000+00:00,695164,1317208685,1317347123,0,1,4,179,VISam,512,512,695164,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",40,4226.67143
d1d4647e-d044-496e-bb23-57561af499ed,906391297,sub-703102/sub-703102_ses-1329110536-acq-1329223374_ophys.nwb,2024-02-07 23:12:42.563000+00:00,703102,1329110536,1329223374,0,0,4,265,VISp,512,512,703102,F,P148.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",284,4226.780951
dd8e982e-cd4f-4cd8-a645-4e9276f4ea8b,731861052,sub-703102/sub-703102_ses-1325001064-acq-1325096634_ophys.nwb,2024-01-19 21:54:53.498000+00:00,703102,1325001064,1325096634,0,3,4,179,VISpm,512,512,703102,F,P129.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",141,4225.544557
a95b18ab-dc73-4807-9352-54b5ef352d19,1072259803,sub-703100/sub-703100_ses-1327857277-acq-1328598910_ophys.nwb,2024-02-02 16:53:34.992000+00:00,703100,1327857277,1328598910,0,0,4,271,VISp,512,512,703100,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",380,4227.162677
a1dcf0c5-ca48-4068-a465-94553df9e80b,664081293,sub-703102/sub-703102_ses-1327686864-acq-1327789151_ophys.nwb,2024-02-01 23:10:22.241000+00:00,703102,1327686864,1327789151,0,0,4,159,VISp,512,512,703102,F,P142.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",85,4226.412358
46524ebc-473f-40b1-9fbe-134a0f488432,735475377,sub-703100/sub-703100_ses-1326968266-acq-1327082631_ophys.nwb,2024-01-29 17:14:53.262000+00:00,703100,1326968266,1327082631,0,3,4,172,VISpm,512,512,703100,M,P139.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",143,4226.348602
0b28832b-db92-4024-8f08-80f4a0dcf1b7,676458918,sub-703102/sub-703102_ses-1326475009-acq-1326560135_ophys.nwb,2024-01-26 22:20:04.561000+00:00,703102,1326475009,1326560135,0,0,4,153,VISp,512,512,703102,F,P136.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",95,4227.897541
ca75dee6-de9a-467b-a7d6-0c4c9458d856,1055851333,sub-703100/sub-703100_ses-1326196206-acq-1326305861_ophys.nwb,2024-01-25 17:43:41.301000+00:00,703100,1326196206,1326305861,0,0,4,266,VISp,512,512,703100,M,P135.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",367,4226.178098
70ba9f71-a7b5-401d-b7ad-72860e75a350,680015303,sub-703102/sub-703102_ses-1326475009-acq-1326560146_ophys.nwb,2024-01-26 22:20:04.561000+00:00,703102,1326475009,1326560146,0,3,4,261,VISpm,512,512,703102,F,P136.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",98,4227.897541
9960339c-32c0-4bab-b93c-9085136ed9c8,741398657,sub-703100/sub-703100_ses-1327857277-acq-1328598917_ophys.nwb,2024-02-02 16:53:34.992000+00:00,703100,1327857277,1328598917,0,2,4,262,VISl,512,512,703100,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",135,4227.162677
a12934f7-f367-4925-ae71-b3a9bd468ff2,906542596,sub-703102/sub-703102_ses-1327686864-acq-1327789153_ophys.nwb,2024-02-01 23:10:22.241000+00:00,703102,1327686864,1327789153,0,0,4,265,VISp,512,512,703102,F,P142.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",283,4226.412358
74afb75c-68cf-4fe5-b0ab-8ae2623b0647,848090625,sub-703100/sub-703100_ses-1326435192-acq-1326555172_ophys.nwb,2024-01-26 17:18:22.154000+00:00,703100,1326435192,1326555172,0,0,4,279,VISp,512,512,703100,M,P136.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",213,4225.47848
4c5e6d54-f506-428c-8fc9-b4d21fd04cdb,853490513,sub-703100/sub-703100_ses-1327857277-acq-1328598922_ophys.nwb,2024-02-02 16:53:34.992000+00:00,703100,1327857277,1328598922,0,3,4,264,VISpm,512,512,703100,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",218,4227.162677
a005bae3-f756-49bd-9bc5-6dcb33a5bc99,674984004,sub-703102/sub-703102_ses-1327386124-acq-1327903096_ophys.nwb,2024-01-31 21:48:36.665000+00:00,703102,1327386124,1327903096,0,2,4,253,VISl,512,512,703102,F,P141.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",94,4227.233461
fee80ceb-79df-4896-98f0-77fc519d47c3,694779361,sub-703102/sub-703102_ses-1327686864-acq-1327789156_ophys.nwb,2024-02-01 23:10:22.241000+00:00,703102,1327686864,1327789156,0,1,4,263,VISam,512,512,703102,F,P142.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",110,4226.412358
68176d23-1ba3-424a-8f7e-966c401a70fc,623710708,sub-703100/sub-703100_ses-1326968266-acq-1327082627_ophys.nwb,2024-01-29 17:14:53.262000+00:00,703100,1326968266,1327082627,0,1,4,254,VISam,512,512,703100,M,P139.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",52,4226.348602
324111ce-a808-466c-8472-02a274ed4c37,595323795,sub-695164/sub-695164_ses-1317208685-acq-1317347125_ophys.nwb,2023-12-12 22:59:07.678000+00:00,695164,1317208685,1317347125,0,1,4,245,VISam,512,512,695164,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",29,4226.67143
4f95617a-1c70-45a8-ab67-b2eb8658f420,578102536,sub-695164/sub-695164_ses-1317464837-acq-1317566533_ophys.nwb,2023-12-13 23:18:08.199000+00:00,695164,1317464837,1317566533,0,1,4,157,VISam,512,512,695164,M,P144.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",16,4227.850984
bbed8e05-3e2a-4c67-a0ef-69aa09ce6fba,594047207,sub-695164/sub-695164_ses-1317464837-acq-1317566538_ophys.nwb,2023-12-13 23:18:08.199000+00:00,695164,1317464837,1317566538,0,2,4,239,VISl,512,512,695164,M,P144.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",29,4227.850984
7113ac68-d4b6-48d1-81c4-0d336a0c8096,661836268,sub-703102/sub-703102_ses-1326010455-acq-1326110366_ophys.nwb,2024-01-24 22:31:29.539000+00:00,703102,1326010455,1326110366,0,3,4,183,VISpm,512,512,703102,F,P134.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",83,4226.980277
7a8dd1dc-b4d0-42c8-8a63-43269c756930,756229566,sub-703102/sub-703102_ses-1325001064-acq-1325096625_ophys.nwb,2024-01-19 21:54:53.498000+00:00,703102,1325001064,1325096625,0,0,4,149,VISp,512,512,703102,F,P129.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",161,4225.544557
388ffb87-d632-4cb1-a1e0-b1fe8f942dec,624852363,sub-703102/sub-703102_ses-1327386124-acq-1327903094_ophys.nwb,2024-01-31 21:48:36.665000+00:00,703102,1327386124,1327903094,0,2,4,155,VISl,512,512,703102,F,P141.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",53,4227.233461
32eedf59-76a7-4c02-9011-7aa727d00567,586738287,sub-703102/sub-703102_ses-1327919456-acq-1328110643_ophys.nwb,2024-02-02 22:25:18.844000+00:00,703102,1327919456,1328110643,0,2,4,279,VISl,512,512,703102,F,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",22,4226.012056
c5f6b6cd-98a7-4b54-bcfb-d7411642d3d1,708940652,sub-703100/sub-703100_ses-1327857277-acq-1328598911_ophys.nwb,2024-02-02 16:53:34.992000+00:00,703100,1327857277,1328598911,0,1,4,174,VISam,512,512,703100,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",111,4227.162677
717ecc7a-8d46-4224-9f1d-231140d2d29c,760203822,sub-703100/sub-703100_ses-1326196206-acq-1326305868_ophys.nwb,2024-01-25 17:43:41.301000+00:00,703100,1326196206,1326305868,0,3,4,169,VISpm,512,512,703100,M,P135.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",148,4226.178098
7ebfda9a-eece-44fc-8ca1-4842fa51752b,718326919,sub-703100/sub-703100_ses-1327857277-acq-1328598913_ophys.nwb,2024-02-02 16:53:34.992000+00:00,703100,1327857277,1328598913,0,1,4,260,VISam,512,512,703100,M,P143.0D,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,"{'movie_clip_A_presentations', 'movie_clip_C_presentations', 'movie_clip_B_presentations', 'gray_presentations'}",118,4227.162677
